key,key:userAccount,bio,keyWords,licensed
#base role
inventor-00,user-account-inventor-00,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,FALSE
#bio- standard variations
inventor-01,user-account-inventor-01,L,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-02,user-account-inventor-02,Lo,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-03,user-account-inventor-03,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod t,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-04,user-account-inventor-04,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod te,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-05,user-account-inventor-05,โลเร็ม อิปซัม,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-06,user-account-inventor-06,لوريم إيبسوم,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-07,user-account-inventor-07,洛伦·伊普森,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-08,user-account-inventor-08,<marquee>Hacked</marquee>,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-09,user-account-inventor-09,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit amet  consectetu,FALSE
inventor-10,user-account-inventor-10,' or 'A' = 'A,Lorem ipsum dolor sit amet  consectetu,FALSE
#bio- no singular values
#keyWords- standard variations
inventor-11,user-account-inventor-11,Lorem ipsum dolor sit amet  consectetu,L,FALSE
inventor-12,user-account-inventor-12,Lorem ipsum dolor sit amet  consectetu,Lo,FALSE
inventor-13,user-account-inventor-13,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod t,FALSE
inventor-14,user-account-inventor-14,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod te,FALSE
inventor-15,user-account-inventor-15,Lorem ipsum dolor sit amet  consectetu,โลเร็ม อิปซัม,FALSE
inventor-16,user-account-inventor-16,Lorem ipsum dolor sit amet  consectetu,لوريم إيبسوم,FALSE
inventor-17,user-account-inventor-17,Lorem ipsum dolor sit amet  consectetu,洛伦·伊普森,FALSE
inventor-18,user-account-inventor-18,Lorem ipsum dolor sit amet  consectetu,<marquee>Hacked</marquee>,FALSE
inventor-19,user-account-inventor-19,Lorem ipsum dolor sit amet  consectetu,<script>alert(‘Hacked!’);</script>,FALSE
inventor-20,user-account-inventor-20,Lorem ipsum dolor sit amet  consectetu,' or 'A' = 'A,FALSE
#keyWords- no singular values
#licensed- standard values
inventor-21,user-account-inventor-21,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,TRUE
