key,ticker,title,description,keyWords,startMoment,endMoment,moreInfo,draftMode,key:manager
#base entity
project-00,PJ00-TICKER,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
#ticker- standard variations
project-01,PJ99-TICKER,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-02,ZZ89-TICKER,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-03,PJ03-_____,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-04,PJ04-__________,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-05,PJ05-PrUe_bPJ,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
#ticker- no singular values
#title- standard variations
project-06,PJ06-TICKER,L,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-07,PJ07-TICKER,Lo,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-08,PJ08-TICKER,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod t,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-09,PJ09-TICKER,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod te,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-10,PJ10-TICKER,โลเร็ม อิปซัม,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-11,PJ11-TICKER,لوريم إيبسوم,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
project-12,PJ12-TICKER,洛伦·伊普森,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/01 23:00,http://lorem.com/ipsum,TRUE,manager-00
